Gene	Alias
PLA2G2C	UBXN10-AS1
NME7	NM23-H7,FLJ37194,CFAP67
RAD9A	RAD9
RTP1	Z3CXXC1,MGC35450
SYCP1	CT8,SCP1,HOM-TES-14
CEP57	KIAA0092,Translokin,TSP57
STARD8	KIAA0189,ARHGAP38
PDRG1	C20orf126,dJ310O13.3
MRPL28	p15,MAAT1
CD52	HE5,CDW52,EDDM5
MUC5AC	MUC5
KLHL24	FLJ20059,DRE1
ADH1B	ADH2
C12orf55	C12orf63,CFAP54
RNF168	FLJ35794
PXDC1	C6orf145
SOWAHD	ANKRD58
MEST	PEG1
FANCG	FAG,XRCC9
TCF19	SC1
ZAK	MRK,MLTKbeta,MLK7,MLTKalpha,MLTK,MAP3K20
ZNF594	KIAA1871
LILRA2	CD85h,LIR7,LIR-7,ILT1
MAMDC2	MGC21981
LAYN	FLJ30977,FLJ31092
MAGEB5	CT3.3,MAGE-B5
GPR3	ACCA
RYK	D3S3195,JTK5A,JTK5,RYK1
CLEC12A	CLL-1,DCAL-2,CD371,MICL
NUP50	NPAP60L
SLC9A4	NHE4
CYSTM1	ORF1-FL49,C5orf32
ZNF280D	ZNF634,FLJ20086,SUHW4
WBP4	MGC117310,FBP21
AEBP2	MGC17922
CECR6	TMEM121B
C4orf6	LINC01587
IL11	AGIF,IL-11
GHDC	LGP1
TEX40	CATSPERZ,C11orf20
PPFIBP1	hSGT2,L2,SGT2,hSgt2p
RPL27	L27
RPL38	L38
ELN	SVAS,WBS,WS
YES1	HsT441,Yes,c-yes
POLM	Tdt-N
FAM154B	SAXO2
UIMC1	RAP80
GTF2F1	BTF4,TF2F1,TFIIF,RAP74
WNT4	WNT-4
SIKE1	FLJ21168,SIKE
PCLO	KIAA0559,DKFZp779G1236,ACZ
TRIM16L	TRIM70
DNAJB9	MDG1
NFE2L1	FLJ00380,NRF1,TCF11,LCR-F1
CBLB	RNF56,Cbl-b
CEBPZOS	CEBPZ-AS1
CLPSL2	dJ510O8.5,C6orf126,UNQ3045
OR6A2	OR6A1,OR11-55,OR6A2P
GMPS	GATD7
ZNF334	bA179N14.1
UFSP2	FLJ11200,C4orf20
SYCE1L	MRP2
NLRP5	MATER,PAN11,CLR19.8,PYPAF8,NALP5
DCDC1	DCDC5,FLJ46154
POLDIP2	PDIP38,DKFZP586F1524
TEKT3	FLJ32828
SAA1	TP53I4,SAA,PIG4
C1orf50	MGC955
ARHGEF11	KIAA0380,PDZ-RHOGEF,GTRAP48
HIST1H4H	H4C8,H4FH
ABHD17A	FAM108A1,MGC5244,C19orf27
C11orf54	PTD012
IFFO1	HOM-TES-103,IFFO
TIAM2	STEF
LYPD3	C4.4A
SEPT5	PNUTL1,SEPTIN5
SLC16A6	MCT6,MCT7
TLR2	CD282,TIL4
